 Date,Time,From,Time,To,Fare,Credit,Balance
 02/Aug/2023,17:28 PM,Adelaide St at City Hall (Stop 20) ,17:39 PM,Light Street - 7 ,$1.78,,$9.25
 03/Aug/2023,7:03:00 AM,James Street - 6 ,7:14:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$7.47
 03/Aug/2023,17:10 PM,Adelaide St at City Hall (Stop 20) ,17:24 PM,Light Street - 7 ,$1.78,,$5.69
 04/Aug/2023,7:08:00 AM,James Street - 6 ,7:14:00 AM,Adelaide St opp City Hall (Stop 43) ,$0.89,,$4.80
 04/Aug/2023,14:04 PM,Auto top up(Adelaide St at City Hall (Stop 20) ),,,,$20.00,$24.80
 04/Aug/2023,14:04 PM,Adelaide St at City Hall (Stop 20) ,14:14 PM,Light Street - 7 ,$0.71,,$24.09
 07/Aug/2023,7:05:00 AM,James Street - 6 ,7:13:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$22.31
 07/Aug/2023,13:21 PM,Roma St Bus Station Platform 1 ,13:26 PM,'QUT Kelvin Grove' Station (OB) - Platform 2 ,$1.42,,$20.89
 07/Aug/2023,17:17 PM,Adelaide St at City Hall (Stop 20) ,17:31 PM,Wickham St @ Warner St (St 229) ,$1.78,,$19.11
 09/Aug/2023,7:02:00 AM,James Street - 6 ,7:11:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$17.33
 09/Aug/2023,17:09 PM,Adelaide St at City Hall (Stop 20) ,17:23 PM,Light Street - 7 ,$1.78,,$15.55
 10/Aug/2023,7:02:00 AM,James Street - 6 ,7:12:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$13.77
 10/Aug/2023,16:57 PM,Adelaide St at City Hall (Stop 20) ,17:05 PM,Light Street - 7 ,$1.78,,$11.99
 11/Aug/2023,7:09:00 AM,James Street - 6 ,7:17:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$10.21
 11/Aug/2023,15:32 PM,Adelaide St at City Hall (Stop 20) ,15:42 PM,Light Street - 7 ,$0.89,,$9.32
 14/Aug/2023,7:04:00 AM,James Street - 6 ,7:12:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$7.54
 14/Aug/2023,16:24 PM,Adelaide St at City Hall (Stop 20) ,16:33 PM,Light Street - 7 ,$1.78,,$5.76
 15/Aug/2023,8:00:00 AM,James Street - 6 ,8:16:00 AM,Adelaide St op Anzac Sq (r) (Stop 37) ,$1.78,,$3.98
 15/Aug/2023,16:59 PM,Auto top up(Adelaide St at City Hall (Stop 20) ),,,,$20.00,$23.98
 15/Aug/2023,16:59 PM,Adelaide St at City Hall (Stop 20) ,17:09 PM,Light Street - 7 ,$1.78,,$22.20
 17/Aug/2023,7:04:00 AM,James Street - 6 ,7:15:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$20.42
 17/Aug/2023,17:01 PM,Adelaide St at City Hall (Stop 20) ,17:10 PM,Light Street - 7 ,$1.78,,$18.64
 18/Aug/2023,7:04:00 AM,James Street - 6 ,7:12:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$16.86
 18/Aug/2023,15:01 PM,Adelaide St at City Hall (Stop 20) ,15:10 PM,Light Street - 7 ,$1.42,,$15.44
 19/Aug/2023,18:02 PM,James Street - 6 ,18:12 PM,Adelaide St opp City Hall (Stop 43) ,$0.71,,$14.73
 19/Aug/2023,19:33 PM,Adelaide St at City Hall (Stop 20) ,19:46 PM,Light Street - 7 ,$0.71,,$14.02
 21/Aug/2023,7:05:00 AM,James Street - 6 ,7:15:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$12.24
 21/Aug/2023,13:23 PM,Adelaide St at City Hall (Stop 20) ,13:31 PM,Light Street - 7 ,$1.42,,$10.82
 22/Aug/2023,7:54:00 AM,Light Street - 7 ,8:01:00 AM,Teneriffe Ferry - 16 ,$1.78,,$9.04
 22/Aug/2023,8:01:00 AM,Teneriffe ferry terminal (Touch on Transfer),8:40:00 AM,QUT ferry terminal ,$0.00,,$9.04
 22/Aug/2023,13:28 PM,Adelaide St at City Hall (Stop 20) ,13:38 PM,Skyring Tce ,$1.42,,$7.62
 23/Aug/2023,18:08 PM,Adelaide St at City Hall (Stop 20) ,18:16 PM,Light Street - 7 ,$1.78,,$5.84
 24/Aug/2023,7:03:00 AM,James Street - 6 ,7:11:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$4.06
 25/Aug/2023,6:57:00 AM,Auto top up(James Street - 6 ),,,,$20.00,$24.06
 25/Aug/2023,6:57:00 AM,James Street - 6 ,7:05:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$22.28
 25/Aug/2023,14:01 PM,Adelaide St app Hutton L (Stop 28) ,14:07 PM,Light Street - 7 ,$1.42,,$20.86
 27/Aug/2023,11:54:00 AM,New Farm Park ferry terminal ,12:07:00 PM,Teneriffe ferry terminal ,$0.71,,$20.15
 27/Aug/2023,18:01 PM,Fortitude Valley,18:12 PM,Central,$0.71,,$19.44
 27/Aug/2023,19:17 PM,Adelaide St at City Hall (Stop 20) ,19:25 PM,Light Street - 7 ,$0.71,,$18.73
 28/Aug/2023,7:07:00 AM,James Street - 6 ,7:17:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$16.95
 28/Aug/2023,12:21:00 PM,Adelaide St at City Hall (Stop 20) ,12:28:00 PM,Light Street - 7 ,$1.42,,$15.53
