 Date,Time,From,Time,To,Fare,Credit,Balance
 02/Nov/2023,17:03 PM,Adelaide St at City Hall (Stop 20) ,17:13 PM,Light Street - 7 ,$1.78,,$21.56
 03/Nov/2023,7:09:00 AM,James Street - 6 ,7:19:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$19.78
 03/Nov/2023,14:58 PM,Adelaide St at City Hall (Stop 20) ,15:06 PM,Light Street - 7 ,$0.71,,$19.07
 04/Nov/2023,9:01:00 AM,James Street - 6 ,9:12:00 AM,Cultural Centre Platform 3 ,$0.71,,$18.36
 04/Nov/2023,9:18:00 AM,Cultural Centre Platform 2 (Touch on Transfer),9:33:00 AM,Upper Mt Gravatt station ,$0.16,,$18.20
 04/Nov/2023,11:23:00 AM,Upper Mt Gravatt station ,11:35:00 AM,South Bank busway station Platform 1 ,$0.87,,$17.33
 04/Nov/2023,12:07:00 PM,Cultural Centre station (Touch on Transfer),12:17:00 PM,Light Street - 7 ,$0.00,,$17.33
 05/Nov/2023,8:18:00 AM,Bridge Street - 5 ,8:31:00 AM,Milton Rail Station - 5/6 ,$0.71,,$16.62
 05/Nov/2023,9:46:00 AM,Milton ferry terminal ,9:52:00 AM,North Quay ferry terminal ,$0.71,,$15.91
 05/Nov/2023,10:55:00 AM,Adelaide St at City Hall (Stop 20) ,11:03:00 AM,Light Street - 7 ,$0.71,,$15.20
 06/Nov/2023,7:14:00 AM,James Street - 6 ,7:26:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$13.42
 06/Nov/2023,13:24 PM,Adelaide St at City Hall (Stop 20) ,13:34 PM,Light Street - 7 ,$1.42,,$12.00
 07/Nov/2023,7:22:00 AM,James Street - 6 ,7:34:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$10.22
 07/Nov/2023,10:47:00 AM,Adelaide St at City Hall (Stop 20) ,10:57:00 AM,Light Street - 7 ,$1.42,,$8.80
 08/Nov/2023,7:13:00 AM,James Street - 6 ,7:24:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$7.02
 08/Nov/2023,16:50 PM,Adelaide St at City Hall (Stop 20) ,17:01 PM,Light Street - 7 ,$1.78,,$5.24
 09/Nov/2023,7:13:00 AM,James Street - 6 ,7:23:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$3.46
 09/Nov/2023,16:59 PM,Auto top up(Adelaide St at City Hall (Stop 20) ),,,,$20.00,$23.46
 09/Nov/2023,16:59 PM,Adelaide St at City Hall (Stop 20) ,17:10 PM,Light Street - 7 ,$1.78,,$21.68
 10/Nov/2023,7:06:00 AM,James Street - 6 ,7:16:00 AM,Adelaide St opp City Hall (Stop 43) ,$0.89,,$20.79
 10/Nov/2023,12:46:00 PM,Adelaide St app Hutton L (Stop 28) ,12:53:00 PM,Light Street - 7 ,$0.71,,$20.08
 12/Nov/2023,9:18:00 AM,Bridge Street - 5 ,9:33:00 AM,Milton Rail Station - 5/6 ,$0.71,,$19.37
 12/Nov/2023,11:16:00 AM,Milton ferry terminal ,11:21:00 AM,North Quay ferry terminal ,$0.71,,$18.66
 12/Nov/2023,12:47:00 PM,Adelaide St app Hutton L (Stop 28) ,12:52:00 PM,Light Street - 7 ,$0.71,,$17.95
 13/Nov/2023,7:13:00 AM,James Street - 6 ,7:24:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$16.17
 13/Nov/2023,13:19 PM,Adelaide St at City Hall (Stop 20) ,13:28 PM,Light Street - 7 ,$1.42,,$14.75
 14/Nov/2023,8:37:00 AM,James Street - 6 ,8:54:00 AM,Adelaide St op Anzac Sq (r) (Stop 36) ,$1.42,,$13.33
 14/Nov/2023,10:03:00 AM,King George Square Station 1D ,10:36:00 AM,Chermside Interchange - Arrival Stop ,$1.74,,$11.59
 14/Nov/2023,15:34 PM,Chermside Interchange - Arrival Stop ,16:11 PM,Adelaide St app Creek St (Stop 35) ,$2.17,,$9.42
 14/Nov/2023,17:15 PM,Adelaide St at City Hall (Stop 20) ,17:29 PM,Light Street - 7 ,$1.78,,$7.64
 15/Nov/2023,18:59 PM,James Street - 6 ,19:07 PM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$5.86
 15/Nov/2023,21:25 PM,Adelaide St at City Hall (Stop 20) ,21:36 PM,Light Street - 7 ,$1.42,,$4.44
 16/Nov/2023,7:10:00 AM,Auto top up(James Street - 6 ),,,,$20.00,$24.44
 16/Nov/2023,7:10:00 AM,James Street - 6 ,7:18:00 AM,Adelaide St opp City Hall (Stop 43) ,$0.89,,$23.55
 16/Nov/2023,17:25 PM,Adelaide St at City Hall (Stop 20) ,17:44 PM,Light Street - 7 ,$0.89,,$22.66
 17/Nov/2023,12:38:00 PM,Teneriffe Ferry - 16 ,12:51:00 PM,James Street - 6 ,$0.71,,$21.95
 17/Nov/2023,17:15 PM,Teneriffe ferry terminal ,17:23 PM,Hawthorne ferry terminal ,$0.89,,$21.06
 17/Nov/2023,20:58 PM,Hawthorne ferry terminal ,21:06 PM,Teneriffe ferry terminal ,$0.71,,$20.35
 18/Nov/2023,18:30 PM,James Street - 6 ,18:40 PM,Adelaide St opp City Hall (Stop 43) ,$0.71,,$19.64
 18/Nov/2023,23:09 PM,Adelaide St at City Hall (Stop 20) ,23:20 PM,Light Street - 7 ,$0.71,,$18.93
 20/Nov/2023,7:09:00 AM,James Street - 6 ,7:17:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$17.15
 20/Nov/2023,16:11 PM,Adelaide St at City Hall (Stop 20) ,16:20 PM,Light Street - 7 ,$1.78,,$15.37
 21/Nov/2023,9:01:00 AM,Light Street - 7 ,9:37:00 AM,Chermside Interchange - Arrival Stop ,$1.74,,$13.63
 21/Nov/2023,11:15:00 AM,Chermside Interchange - A ,11:48:00 AM,King George Square Station 2A ,$1.74,,$11.89
 21/Nov/2023,11:53:00 AM,Adelaide St at City Hall (Stop 20) (Touch on Transfer),12:02:00 PM,Light Street - 7 ,$0.00,,$11.89
 22/Nov/2023,7:11:00 AM,James Street - 6 ,7:19:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$10.11
 22/Nov/2023,16:55 PM,Adelaide St at City Hall (Stop 20) ,17:06 PM,Light Street - 7 ,$1.78,,$8.33
 23/Nov/2023,7:14:00 AM,James Street - 6 ,Unknown,Failed to touch Off,$2.50,,$5.83
 23/Nov/2023,17:10 PM,Adelaide St at City Hall (Stop 20) ,17:24 PM,Light Street - 7 ,$1.78,,$4.05
 24/Nov/2023,7:07:00 AM,Auto top up(James Street - 6 ),,,,$20.00,$24.05
 24/Nov/2023,7:07:00 AM,James Street - 6 ,7:16:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$22.27
 23/Jan/2023,7:36:00 AM,Lewis Street - 11 ,8:00:00 AM,Caxton Street - 4 ,1.78,,12.71
 23/Jan/2023,16:52 PM,Caxton Street ,17:14 PM,Lewis Street - 11/12 ,1.78,,10.93
 25/Jan/2023,19:43 PM,Buranda,20:20 PM,Fortitude Valley,1.42,,9.51
 25/Jan/2023,22:42 PM,Fortitude Valley,23:02 PM,Buranda,1.42,,8.09
 26/Jan/2023,11:01:00 AM,Kingfisher Creek O/B ,11:15:00 AM,Carindale Interchange - B ,1.74,,6.35
 26/Jan/2023,13:28 PM,Carindale Interchange - G ,13:44 PM,Kingfisher Creek I/B ,1.74,,4.61
 29/Jan/2023,11:30:00 AM,Auto top up(Lewis Street - 11 ),,,,20,24.61
 29/Jan/2023,11:30:00 AM,Lewis Street - 11 ,11:42:00 AM,King George Square Station 1C ,1.42,,23.19
 29/Jan/2023,12:56:00 PM,King George Square Station 2D ,13:09 PM,Lewis Street - 11/12 ,1.42,,21.77
 30/Jan/2023,12:12:00 PM,Lewis Street - 11 ,12:27:00 PM,Adelaide St adj City Hall (Stop 19) ,1.42,,20.35
 30/Jan/2023,13:14 PM,King George Square Station 2D (Touch on Transfer),13:28 PM,Lewis Street - 11/12 ,0,,20.35
 31/Jan/2023,7:24:00 AM,Lewis Street - 11 ,7:46:00 AM,Caxton Street - 4 ,1.78,,18.57
 02/Feb/2023,7:22:00 AM,Lewis Street - 11 ,7:42:00 AM,Caxton Street - 4 ,1.78,,16.79
 03/Feb/2023,12:18:00 PM,Caxton Street ,12:38:00 PM,Lewis Street - 11/12 ,1.42,,15.37
 04/Feb/2023,13:45 PM,Lewis Street - 11 ,13:59 PM,Adelaide St adj City Hall (Stop 19) ,1.42,,13.95
 04/Feb/2023,15:15 PM,King George Square Station 2D ,15:28 PM,Lewis Street - 11/12 ,1.42,,12.53
 05/Feb/2023,10:32:00 AM,Lewis Street - 11 ,10:46:00 AM,King George Square Station 1C ,1.42,,11.11
 05/Feb/2023,13:40 PM,King George Square Station 2D ,13:54 PM,Lewis Street - 11/12 ,1.42,,9.69
 06/Feb/2023,7:25:00 AM,Lewis Street - 11 ,7:46:00 AM,Caxton Street - 4 ,1.78,,7.91
 06/Feb/2023,16:43 PM,Caxton Street ,17:09 PM,Lewis Street - 11/12 ,1.78,,6.13
 07/Feb/2023,17:44 PM,Lewis Street - 11 ,17:50 PM,South Bank busway station Platform 1 ,1.78,,4.35
 07/Feb/2023,19:02 PM,Auto top up(South Bank busway station Platform 2 ),,,,20,24.35
 07/Feb/2023,19:02 PM,South Bank busway station Platform 2 ,19:09 PM,Lewis Street - 11/12 ,1.42,,22.93
 08/Feb/2023,7:26:00 AM,Lewis Street - 11 ,7:48:00 AM,Caxton Street - 4 ,1.78,,21.15
 08/Feb/2023,16:54 PM,Caxton Street ,17:19 PM,Lewis Street - 11/12 ,1.78,,19.37
 10/Feb/2023,18:33 PM,Lewis Street - 11 ,18:42 PM,Cultural Centre station ,1.78,,17.59
 10/Feb/2023,18:45 PM,Cultural Centre station (Touch on Transfer),18:59 PM,Skyring Tce ,0,,17.59
 10/Feb/2023,19:35 PM,Skyring Tce (Touch on Transfer),19:52 PM,Mollison Street - 5 ,0,,17.59
 10/Feb/2023,20:29 PM,Cultural Centre Platform 2 (Touch on Transfer),20:38 PM,Lewis Street - 11/12 ,0,,17.59
 11/Feb/2023,9:59:00 AM,Lewis Street - 11/12 ,10:06:00 AM,Coorparoo - 23 - Old Cleveland Rd ,1.42,,16.17
 11/Feb/2023,10:44:00 AM,Coorparoo Square (Touch on Transfer),10:53:00 AM,Lewis Street - 11 ,0,,16.17
 12/Feb/2023,19:29 PM,Lewis Street - 11 ,19:36 PM,South Bank busway station Platform 1 ,0.71,,15.46
 12/Feb/2023,20:12 PM,South Bank busway station Platform 2 (Touch on Transfer),20:19 PM,Lewis Street - 11/12 ,0,,15.46
 13/Feb/2023,7:12:00 AM,Lewis Street - 11 ,7:33:00 AM,Caxton Street - 4 ,1.78,,13.68
 13/Feb/2023,17:14 PM,Adelaide St at City Hall (Stop 20) ,17:32 PM,Skyring Tce ,1.78,,11.9
 13/Feb/2023,17:54 PM,Skyring Tce (Touch on Transfer),18:06 PM,Adelaide St opp City Hall (Stop 43) ,0,,11.9
 13/Feb/2023,18:48 PM,Adelaide St opp City Plaza (Stop 46) (Touch on Transfer),19:02 PM,Lewis Street - 11/12 ,0,,11.9
 14/Feb/2023,7:13:00 AM,Lewis Street - 11 ,7:32:00 AM,Caxton Street - 4 ,1.78,,10.12
 14/Feb/2023,16:18 PM,Caxton Street ,17:03 PM,Lewis Street - 11/12 ,1.78,,8.34
 16/Feb/2023,14:44 PM,Lewis Street - 11 ,14:51 PM,Mater Hill station Platform 1 ,1.42,,6.92
 16/Feb/2023,18:01 PM,Cultural Centre Platform 2 ,18:09 PM,Lotus Street - 10A ,1.78,,5.14
 17/Feb/2023,18:35 PM,Lewis Street - 11 ,18:44 PM,South Bank busway station Platform 1 ,1.78,,3.36
 17/Feb/2023,20:26 PM,Auto top up(Cultural Centre Platform 2 ),,,,20,23.36
 17/Feb/2023,20:26 PM,Cultural Centre Platform 2 ,20:36 PM,Lewis Street - 11/12 ,1.42,,21.94
 19/Feb/2023,10:06:00 AM,Lewis Street - 11 ,10:14:00 AM,South Bank busway station Platform 1 ,0.71,,21.23
 19/Feb/2023,11:05:00 AM,Cultural Centre station (Touch on Transfer),11:18:00 AM,Skyring Tce ,0,,21.23
 19/Feb/2023,12:19:00 PM,James Street - 6 ,12:28:00 PM,Adelaide St opp City Hall (Stop 43) ,0.71,,20.52
 19/Feb/2023,13:55 PM,King George Square Station 2D ,14:09 PM,Lewis Street - 11/12 ,0.71,,19.81
 20/Feb/2023,7:04:00 AM,Lewis Street - 11 ,7:24:00 AM,Caxton Street - 4 ,1.78,,18.03
 20/Feb/2023,16:59 PM,Adelaide St at City Hall (Stop 20) ,17:14 PM,Skyring Tce ,1.78,,16.25
 20/Feb/2023,17:41 PM,Skyring Tce (Touch on Transfer),18:01 PM,Cultural Centre Platform 3 ,0,,16.25
 20/Feb/2023,18:02 PM,Cultural Centre Platform 2 (Touch on Transfer),18:11 PM,Lewis Street - 11/12 ,0,,16.25
 21/Feb/2023,7:04:00 AM,Lewis Street - 11 ,7:20:00 AM,Caxton Street - 4 ,1.78,,14.47
 21/Feb/2023,16:58 PM,Adelaide St at City Hall (Stop 20) ,17:15 PM,Skyring Tce ,1.78,,12.69
 21/Feb/2023,17:40 PM,Skyring Tce (Touch on Transfer),18:00 PM,Cultural Centre Platform 3 ,0,,12.69
 21/Feb/2023,18:02 PM,Cultural Centre Platform 2 (Touch on Transfer),18:13 PM,Lewis Street - 11/12 ,0,,12.69
 22/Feb/2023,8:16:00 AM,Lewis Street - 11 ,8:34:00 AM,King George Square Station 1C ,1.78,,10.91
 22/Feb/2023,16:18 PM,King George Square Station 2D ,16:35 PM,Lewis Street - 11/12 ,1.78,,9.13
 23/Feb/2023,7:11:00 AM,Lewis Street - 11 ,7:32:00 AM,Caxton Street - 4 ,1.78,,7.35
 23/Feb/2023,18:11 PM,King George Square Station 2D ,18:24 PM,Lewis Street - 11/12 ,1.78,,5.57
 26/Feb/2023,9:43:00 AM,Lewis Street - 11 ,9:55:00 AM,Adelaide St adj City Hall (Stop 19) ,0.71,,4.86
 26/Feb/2023,12:26:00 PM,Auto top up(King George Square Station 2D ),,,,20,24.86
 26/Feb/2023,12:26:00 PM,King George Square Station 2D ,12:41:00 PM,Lewis Street - 11/12 ,0.71,,24.15
 27/Feb/2023,7:13:00 AM,Lewis Street - 11 ,7:33:00 AM,Caxton Street - 4 ,1.78,,22.37
 27/Feb/2023,17:13 PM,Adelaide St at City Hall (Stop 20) ,17:26 PM,Skyring Tce ,1.78,,20.59
 27/Feb/2023,17:33 PM,Skyring Tce (Touch on Transfer),17:52 PM,Cultural Centre Platform 3 ,0,,20.59
 27/Feb/2023,17:57 PM,Cultural Centre Platform 2 (Touch on Transfer),18:07 PM,Lewis Street - 11/12 ,0,,20.59
 28/Feb/2023,8:56:00 AM,Lewis Street - 11 ,9:12:00 AM,Adelaide St adj City Hall (Stop 19) ,1.42,,19.17
 28/Feb/2023,18:27 PM,King George Square Station 2D ,18:40 PM,Lewis Street - 11/12 ,1.78,,17.39
 01/Mar/2023,7:04:00 AM,Lewis Street - 11 ,7:26:00 AM,Caxton Street - 4 ,1.78,,15.61
 01/Mar/2023,16:40 PM,Adelaide St at City Hall (Stop 20) ,16:58 PM,Skyring Tce ,1.78,,13.83
 01/Mar/2023,17:57 PM,Bowen Hills(Touch on Transfer),18:17 PM,Buranda,0,,13.83
 02/Mar/2023,9:21:00 AM,Lewis Street - 11 ,9:31:00 AM,South Bank busway station Platform 1 ,1.42,,12.41
 02/Mar/2023,15:16 PM,South Bank busway station Platform 2 ,15:25 PM,Lewis Street - 11/12 ,1.42,,10.99
 03/Mar/2023,7:21:00 AM,Lewis Street - 11 ,7:42:00 AM,Caxton Street - 4 ,0.89,,10.1
 03/Mar/2023,19:46 PM,South Bank busway station Platform 2 ,19:54 PM,Lotus Street - 10A ,0.71,,9.39
 04/Mar/2023,9:53:00 AM,Lewis Street - 11 ,10:07:00 AM,Adelaide St adj City Hall (Stop 19) ,0.71,,8.68
 04/Mar/2023,12:09:00 PM,Adelaide St opp City Plaza (Stop 46) ,12:23:00 PM,Lewis Street - 11/12 ,0.71,,7.97
 04/Mar/2023,14:48 PM,Lewis Street - 11 ,14:55 PM,South Bank busway station Platform 1 ,0.71,,7.26
 04/Mar/2023,16:42 PM,South Bank busway station Platform 2 ,16:50 PM,Lewis Street - 11/12 ,0.71,,6.55
 05/Mar/2023,10:04:00 AM,Lewis Street - 11/12 ,10:11:00 AM,Coorparoo - 23 - Old Cleveland Rd ,0.71,,5.84
 05/Mar/2023,10:50:00 AM,Coorparoo Square (Touch on Transfer),11:00:00 AM,Lewis Street - 11 ,0,,5.84
 05/Mar/2023,17:00 PM,Lewis Street - 11 ,17:12 PM,King George Square Station 1C ,0.71,,5.13
 05/Mar/2023,18:04 PM,King George Square Station 2D (Touch on Transfer),18:16 PM,Lewis Street - 11/12 ,0,,5.13
 06/Mar/2023,7:02:00 AM,Lewis Street - 11 ,7:21:00 AM,Caxton Street - 4 ,1.78,,3.35
 06/Mar/2023,16:55 PM,Auto top up(Adelaide St at City Hall (Stop 20) ),,,,20,23.35
 06/Mar/2023,16:55 PM,Adelaide St at City Hall (Stop 20) ,17:09 PM,Skyring Tce ,1.78,,21.57
 06/Mar/2023,17:40 PM,Skyring Tce (Touch on Transfer),17:58 PM,Cultural Centre Platform 3 ,0,,21.57
 06/Mar/2023,17:59 PM,Cultural Centre Platform 2 (Touch on Transfer),18:08 PM,Lewis Street - 11/12 ,0,,21.57
 07/Mar/2023,8:05:00 AM,Lewis Street - 11 ,8:16:00 AM,South Bank busway station Platform 1 ,1.78,,19.79
 07/Mar/2023,17:22 PM,South Bank busway station Platform 2 ,17:31 PM,Lewis Street - 11/12 ,1.78,,18.01
 08/Mar/2023,7:11:00 AM,Lewis Street - 11 ,7:33:00 AM,Caxton Street - 4 ,1.78,,16.23
 08/Mar/2023,16:43 PM,Caxton Street ,17:51 PM,Lewis Street - 11/12 ,1.78,,14.45
 09/Mar/2023,8:21:00 AM,Lewis Street - 11 ,8:31:00 AM,South Bank busway station Platform 1 ,1.78,,12.67
 09/Mar/2023,15:54 PM,King George Square Station 2D ,16:08 PM,Lewis Street - 11/12 ,1.78,,10.89
 10/Mar/2023,7:15:00 AM,Lewis Street - 11 ,7:32:00 AM,Caxton Street - 4 ,0.89,,10
 13/Mar/2023,7:22:00 AM,Lewis Street - 11 ,7:43:00 AM,Caxton Street - 4 ,1.78,,8.22
 13/Mar/2023,16:59 PM,Adelaide St at City Hall (Stop 20) ,17:12 PM,Skyring Tce ,1.78,,6.44
 13/Mar/2023,17:37 PM,Skyring Tce (Touch on Transfer),17:57 PM,Cultural Centre Platform 3 ,0,,6.44
 13/Mar/2023,17:58 PM,Cultural Centre Platform 2 (Touch on Transfer),18:09 PM,Lewis Street - 11/12 ,0,,6.44
 14/Mar/2023,8:32:00 AM,Lewis Street - 11 ,8:40:00 AM,South Bank busway station Platform 1 ,1.42,,5.02
 14/Mar/2023,13:45 PM,South Bank busway station Platform 2 ,13:56 PM,Stones Corner Station Platform 2 ,1.42,,3.6
 14/Mar/2023,14:37 PM,Auto top up(Stones Corner Library - 17/15 ),,,,20,23.6
 14/Mar/2023,14:37 PM,Stones Corner Library - 17/15 (Touch on Transfer),14:39 PM,Lewis Street - 11 ,0,,23.6
 15/Mar/2023,7:13:00 AM,Lewis Street - 11 ,7:31:00 AM,Caxton Street - 4 ,1.78,,21.82
 15/Mar/2023,17:07 PM,Adelaide St app Hutton L (Stop 28) ,17:19 PM,Skyring Tce ,1.78,,20.04
 15/Mar/2023,17:48 PM,Skyring Tce (Touch on Transfer),18:03 PM,Adelaide St opp City Hall (Stop 43) ,0,,20.04
 15/Mar/2023,18:43 PM,King George Square Station 2D (Touch on Transfer),18:58 PM,Lewis Street - 11/12 ,0,,20.04
 16/Mar/2023,8:59:00 AM,Lewis Street - 11 ,9:06:00 AM,South Bank busway station Platform 1 ,1.42,,18.62
 16/Mar/2023,16:15 PM,'QUT Kelvin Grove' Station (IB) - Platform 1 ,16:28 PM,Cultural Centre Platform 2 ,1.78,,16.84
 16/Mar/2023,16:34 PM,Cultural Centre Platform 2 (Touch on Transfer),16:43 PM,Lewis Street - 11/12 ,0,,16.84
 17/Mar/2023,7:11:00 AM,Lewis Street - 11 ,7:29:00 AM,Caxton Street - 4 ,0.89,,15.95
 17/Mar/2023,17:05 PM,Roma St Bus Station Platform 2 ,17:29 PM,Lewis Street - 11/12 ,0.89,,15.06
 19/Mar/2023,9:58:00 AM,Lewis Street - 11 ,10:12:00 AM,King George Square Station 1C ,0.71,,14.35
 19/Mar/2023,12:16:00 PM,King George Square Station 2D ,12:28:00 PM,Lewis Street - 11/12 ,0.71,,13.64
 20/Mar/2023,7:10:00 AM,Lewis Street - 11 ,7:32:00 AM,Caxton Street - 4 ,1.78,,11.86
 20/Mar/2023,17:28 PM,Roma St Bus Station Platform 2 ,17:45 PM,Lewis Street - 11/12 ,1.78,,10.08
 21/Mar/2023,8:04:00 AM,Lewis Street - 11 ,8:13:00 AM,South Bank busway station Platform 1 ,1.78,,8.3
 21/Mar/2023,17:07 PM,South Bank busway station Platform 2 ,17:16 PM,Lewis Street - 11/12 ,1.78,,6.52
 22/Mar/2023,7:04:00 AM,Lewis Street - 11 ,7:23:00 AM,Caxton Street - 4 ,1.78,,4.74
 22/Mar/2023,17:04 PM,Auto top up(Caxton Street ),,,,20,24.74
 22/Mar/2023,17:04 PM,Caxton Street ,17:27 PM,Lewis Street - 11/12 ,1.78,,22.96
 24/Mar/2023,7:04:00 AM,Lewis Street - 11 ,7:24:00 AM,Caxton Street - 4 ,1.78,,21.18
 24/Mar/2023,16:41 PM,Roma St Bus Station Platform 2 ,16:50 PM,Cultural Centre Platform 3 ,1.78,,19.4
 24/Mar/2023,16:55 PM,Cultural Centre Platform 2 (Touch on Transfer),17:07 PM,Lewis Street - 11/12 ,0,,19.4
 27/Mar/2023,7:04:00 AM,Lewis Street - 11 ,7:23:00 AM,Caxton Street - 4 ,1.78,,17.62
 27/Mar/2023,17:00 PM,Adelaide St at City Hall (Stop 20) ,17:11 PM,Skyring Tce ,1.78,,15.84
 27/Mar/2023,17:49 PM,Bowen Hills(Touch on Transfer),18:22 PM,Buranda,0,,15.84
 28/Mar/2023,9:29:00 AM,Lewis Street - 11 ,9:38:00 AM,South Bank busway station Platform 1 ,1.42,,14.42
 29/Mar/2023,7:02:00 AM,Lewis Street - 11 ,7:20:00 AM,Caxton Street - 4 ,1.78,,12.64
 29/Mar/2023,16:58 PM,Adelaide St app Hutton L (Stop 28) ,17:13 PM,Skyring Tce ,1.78,,10.86
 29/Mar/2023,17:31 PM,Skyring Tce (Touch on Transfer),17:52 PM,Cultural Centre Platform 3 ,0,,10.86
 29/Mar/2023,17:55 PM,Cultural Centre Platform 2 (Touch on Transfer),18:04 PM,Lewis Street - 11/12 ,0,,10.86
 30/Mar/2023,8:55:00 AM,Lewis Street - 11 ,9:02:00 AM,South Bank busway station Platform 1 ,1.42,,9.44
 30/Mar/2023,16:39 PM,South Bank busway station Platform 2 ,16:47 PM,Lewis Street - 11/12 ,1.78,,7.66
 31/Mar/2023,7:10:00 AM,Lewis Street - 11 ,7:31:00 AM,Caxton Street - 4 ,1.78,,5.88
 31/Mar/2023,16:14 PM,Roma St Bus Station Platform 2 ,16:26 PM,Woolloongabba station Platform 2 ,0.89,,4.99
 31/Mar/2023,16:26 PM,Auto top up(Woolloongabba station Platform 2 ),,,,20,24.99
 31/Mar/2023,16:26 PM,Woolloongabba station Platform 2 (Touch on Transfer),16:30 PM,Lewis Street - 11/12 ,0,,24.99
 31/Mar/2023,20:54 PM,Buranda,21:06 PM,South Brisbane,0.71,,24.28
 31/Mar/2023,23:46 PM,Cultural Centre Platform 2 ,23:52 PM,Lewis Street - 11/12 ,0.71,,23.57
 03/Apr/2023,7:13:00 AM,Lewis Street - 11 ,7:33:00 AM,Caxton Street - 4 ,1.78,,21.79
 03/Apr/2023,17:16 PM,Roma St Bus Station Platform 2 ,17:32 PM,Lewis Street - 11/12 ,1.78,,20.01
 04/Apr/2023,8:58:00 AM,Lewis Street - 11 ,9:09:00 AM,South Bank busway station Platform 1 ,1.42,,18.59
 04/Apr/2023,17:21 PM,South Bank busway station Platform 2 ,17:27 PM,Lewis Street - 11/12 ,1.78,,16.81
 06/Apr/2023,8:34:00 AM,Lewis Street - 11 ,8:50:00 AM,King George Square Station 1C ,1.42,,15.39
 06/Apr/2023,13:11 PM,King George Square Station 2D ,13:23 PM,Lewis Street - 11/12 ,1.42,,13.97
 11/Apr/2023,7:11:00 AM,Lewis Street - 11 ,7:30:00 AM,Caxton Street - 4 ,1.78,,12.19
 11/Apr/2023,17:15 PM,Adelaide St app Hutton L (Stop 28) ,17:26 PM,Skyring Tce ,1.78,,10.41
 11/Apr/2023,17:42 PM,Skyring Tce (Touch on Transfer),18:00 PM,Cultural Centre Platform 3 ,0,,10.41
 11/Apr/2023,18:04 PM,Cultural Centre Platform 2 (Touch on Transfer),18:15 PM,Lewis Street - 11/12 ,0,,10.41
 12/Apr/2023,7:12:00 AM,Lewis Street - 11 ,7:34:00 AM,Caxton Street - 4 ,1.78,,8.63
 12/Apr/2023,17:03 PM,Caxton Street ,17:32 PM,Lewis Street - 11/12 ,1.78,,6.85
 14/Apr/2023,7:11:00 AM,Lewis Street - 11 ,7:30:00 AM,Caxton Street - 4 ,1.78,,5.07
 14/Apr/2023,16:42 PM,Caxton Street ,17:06 PM,Lewis Street - 11/12 ,1.78,,3.29
 15/Apr/2023,12:43:00 PM,Auto top up(Lewis Street - 11/12 ),,,,20,23.29
 15/Apr/2023,12:43:00 PM,Lewis Street - 11/12 ,12:52:00 PM,Coorparoo - 23 - Old Cleveland Rd ,0,,21.87
 15/Apr/2023,13:28 PM,Langlands Park Station Platform 1 (Touch on Transfer),13:32 PM,Lewis Street - 11 ,0,,21.87
 16/Apr/2023,12:03:00 PM,Kingfisher Creek O/B ,12:21:00 PM,Carindale Interchange - B ,1.74,,20.13
 16/Apr/2023,14:10 PM,Carindale Interchange - G ,14:25 PM,Kingfisher Creek I/B ,0.87,,19.26
 17/Apr/2023,7:22:00 AM,Caxton Street - 4 ,Unknown,Failed to touch Off,2.5,,16.76
 17/Apr/2023,16:41 PM,Caxton Street ,17:06 PM,Lewis Street - 11/12 ,1.78,,14.98
 18/Apr/2023,7:46:00 AM,Lewis Street - 11 ,7:54:00 AM,South Bank busway station Platform 1 ,1.78,,13.2
 18/Apr/2023,15:28 PM,South Bank busway station Platform 2 ,15:37 PM,Lewis Street - 11/12 ,1.42,,11.78
 19/Apr/2023,7:11:00 AM,Top up/Adjustment(Lewis Street - 11 ),,,,2.5,14.28
 19/Apr/2023,7:11:00 AM,Lewis Street - 11 ,7:32:00 AM,Caxton Street - 4 ,1.78,,12.5
 19/Apr/2023,17:00 PM,Adelaide St app Hutton L (Stop 28) ,17:13 PM,Skyring Tce ,1.78,,10.72
 19/Apr/2023,17:47 PM,Skyring Tce (Touch on Transfer),18:09 PM,Cultural Centre Platform 3 ,0,,10.72
 19/Apr/2023,18:10 PM,Cultural Centre Platform 2 (Touch on Transfer),18:18 PM,Lewis Street - 11/12 ,0,,10.72
 20/Apr/2023,8:47:00 AM,Lewis Street - 11 ,8:57:00 AM,South Bank busway station Platform 1 ,1.42,,9.3
 20/Apr/2023,16:51 PM,King George Square Station 2D ,17:09 PM,Lewis Street - 11/12 ,1.78,,7.52
 21/Apr/2023,7:11:00 AM,Lewis Street - 11 ,7:32:00 AM,Caxton Street - 4 ,1.78,,5.74
 21/Apr/2023,15:20 PM,Caxton Street ,15:43 PM,Lewis Street - 11/12 ,0.71,,5.03
